"customer_id","customerfullname","favoritescategory"
1,"Mary - Smith","Classics === Sports === Classics === Classics === Comedy === Comedy === Sci-Fi === Drama === Music === Games === Sports === Comedy === Music === Travel === Drama === Animation === Foreign === Classics === Action === New === Classics === Documentary === Drama === Family === Action === Drama === Classics === New === Sci-Fi === Comedy === Comedy === Animation"
2,"Patricia - Johnson","Animation === Animation === Classics === Sports === Action === New === Sports === Foreign === New === Music === Travel === Travel === Action === Classics === Sports === Animation === Sports === Action === Documentary === Sports === Games === Family === Games === Classics === Children === Classics === Sci-Fi"
3,"Linda - Williams","Action === New === Horror === Animation === Comedy === Documentary === Action === Games === Games === Action === Animation === New === Music === Sports === Action === Sports === Drama === Family === Horror === Classics === Animation === Sci-Fi === Comedy === Sci-Fi === Sci-Fi === Music"
4,"Barbara - Jones","Animation === Family === Sports === Action === Children === New === Drama === Travel === Horror === Classics === Horror === Foreign === Comedy === Sports === Foreign === Travel === Sci-Fi === Horror === Comedy === Documentary === Sci-Fi === Drama"
5,"Elizabeth - Brown","Children === Children === Horror === Horror === Drama === Games === Animation === Sports === Classics === Family === Games === Family === Classics === Action === New === Classics === Animation === Sports === Animation === New === Foreign === New === Music === Classics === Comedy === Classics === Family === Games === Travel === Sports === Animation === Classics === Family === Animation === Animation === Documentary === Classics === Music"
6,"Jennifer - Davis","Comedy === Family === Sci-Fi === New === Drama === Foreign === Action === Children === Games === Sci-Fi === Music === New === Children === Foreign === Drama === Animation === Games === Drama === Classics === Comedy === Action === Animation === Children === Sports === Drama === Sports === Sci-Fi === Music"
7,"Maria - Miller","New === Travel === Animation === Drama === Foreign === Music === Animation === Sports === Travel === Children === Family === Action === Comedy === Sports === Horror === Horror === Documentary === New === Sports === Family === Sports === Classics === Action === Animation === Animation === Children === New === Drama === Foreign === Animation === Sports === New === Documentary"
8,"Susan - Wilson","Sports === Sports === Horror === Drama === Drama === Drama === Classics === Animation === Action === Classics === Classics === Foreign === Drama === Horror === Travel === Documentary === Sports === New === Classics === New === Children === Sci-Fi === Travel === Sci-Fi"
9,"Margaret - Moore","Comedy === Classics === Foreign === Horror === Travel === New === Travel === Foreign === Children === Sports === Comedy === Horror === Classics === Drama === Foreign === Travel === Sports === Family === Travel === Classics === Foreign === Comedy === Documentary"
10,"Dorothy - Taylor","Animation === Games === Documentary === Games === Games === Children === Children === Sports === Documentary === Sports === Travel === Documentary === Action === Foreign === Games === Action === Foreign === Drama === Documentary === Classics === Comedy === Sports === Sci-Fi === Drama === Horror"
11,"Lisa - Anderson","Music === Animation === Classics === Documentary === Classics === Sports === Music === Horror === Games === Games === Children === Documentary === Games === Drama === Children === Action === Family === Games === Action === Documentary === Drama === Children === New === Games"
12,"Nancy - Thomas","Horror === Comedy === Drama === Drama === Horror === Comedy === Classics === Sci-Fi === Horror === Games === Action === Drama === Drama === Children === Horror === Foreign === Action === Sci-Fi === Horror === Travel === Sports === Drama === Action === Drama === Documentary === Comedy === Classics === Classics"
13,"Karen - Jackson","Drama === Sports === Action === Sports === Action === Foreign === Travel === Sports === Classics === New === Travel === Drama === Animation === Horror === Drama === Sci-Fi === Sci-Fi === Foreign === Comedy === Classics === New === Horror === Travel === Classics === Animation === Classics === Foreign"
14,"Betty - White","Games === Games === Action === Drama === Family === Sci-Fi === Animation === Documentary === Documentary === Games === Children === Drama === Action === Drama === Foreign === Sports === Horror === Sci-Fi === Children === Foreign === Horror === Documentary === Animation === Action === Comedy === Foreign === Classics === Children"
15,"Helen - Harris","Children === Foreign === Sports === Horror === Comedy === Classics === Comedy === Classics === Classics === Documentary === Drama === Foreign === Travel === Foreign === Animation === Travel === Travel === Family === Sports === Sci-Fi === Horror === Family === Foreign === Animation === Children === Classics === Documentary === Action === Sports === Children === Drama === Sports"
16,"Sandra - Martin","Family === Documentary === Sports === Documentary === Comedy === Family === Animation === Games === Action === Animation === Animation === Foreign === Sports === Animation === Children === Comedy === Sports === Drama === Family === Classics === Sci-Fi === Children === Foreign === Sports === Sports === Sports === New === Documentary"
17,"Donna - Thompson","Foreign === Foreign === Children === Music === Action === Action === Family === Sports === Family === Children === Games === Children === Sci-Fi === Foreign === Children === Foreign === Action === Foreign === Sci-Fi === New === Family"
18,"Carol - Garcia","Classics === Documentary === Music === Family === Sports === Children === Horror === Action === Horror === Documentary === Classics === New === Sports === Classics === Drama === Documentary === Horror === Games === Comedy === Sci-Fi === Animation === Music"
19,"Ruth - Martinez","Music === Sci-Fi === Games === Documentary === Family === Children === Children === Comedy === Foreign === Horror === Sports === Family === Sports === Horror === Sports === New === Documentary === Comedy === Horror === New === Games === Documentary === Travel === Sports"
20,"Sharon - Robinson","Family === Classics === New === New === Music === New === Action === Classics === Children === Sports === Comedy === New === New === Documentary === Children === Sports === Documentary === Sports === Animation === Games === Foreign === New === New === Drama === Children === Sports === Travel === Comedy === Drama === Comedy"
21,"Michelle - Clark","New === Travel === Classics === New === Foreign === Animation === Travel === Foreign === Sci-Fi === Action === Sports === Foreign === Foreign === Family === Drama === Sports === Sci-Fi === Sci-Fi === Action === New === Games === Music === Classics === Travel === Sci-Fi === Comedy === Sci-Fi === Sports === Horror === Documentary === Documentary === Sci-Fi === Documentary === Foreign === Games"
22,"Laura - Rodriguez","Children === Sci-Fi === Foreign === Horror === Documentary === Family === Animation === Sports === Animation === Comedy === Games === Sci-Fi === Comedy === Games === New === Foreign === Action === Family === Foreign === Sports === Sports === Documentary"
23,"Sarah - Lewis","Sports === Comedy === Action === Classics === Sci-Fi === New === Animation === Sci-Fi === Games === Action === Sci-Fi === New === Animation === Sports === Classics === Sci-Fi === Sports === Animation === Sci-Fi === Sci-Fi === Comedy === Games === Animation === Drama === New === Horror === Animation === Travel === Children === Games"
24,"Kimberly - Lee","Documentary === Animation === Horror === Sci-Fi === Travel === Family === Games === Family === Horror === Children === Classics === Animation === Music === Travel === Children === Action === Family === Action === Classics === Animation === Documentary === Drama === Foreign === Games === Comedy"
25,"Deborah - Walker","Games === Documentary === Animation === Games === Sci-Fi === Games === Family === Action === Foreign === Classics === Drama === Family === Music === Classics === Comedy === Action === Animation === Children === Foreign === Foreign === Action === Sci-Fi === Sports === Horror === Music === Sci-Fi === Classics === Documentary === Action"
26,"Jessica - Hall","Music === Children === Foreign === Travel === Sci-Fi === Sports === Drama === Games === Horror === Documentary === Drama === Documentary === Classics === Foreign === Sci-Fi === Foreign === Sports === Documentary === Drama === Drama === Music === Classics === Children === Games === Sports === Games === Action === Comedy === Documentary === Family === Action === Action === Foreign === Documentary"
27,"Shirley - Allen","Documentary === Comedy === Documentary === Foreign === Family === Animation === Sports === Foreign === Classics === Children === Comedy === Sports === Sports === Action === Animation === Classics === Children === Family === Foreign === Travel === Animation === Documentary === Foreign === Classics === New === Sports === Family === Children === Travel === Drama === Music"
28,"Cynthia - Young","New === Documentary === Sports === Comedy === Documentary === Family === Music === Travel === Travel === Children === Drama === Travel === Horror === Drama === Music === Animation === Documentary === Sci-Fi === Action === Sports === Action === Classics === Foreign === Sci-Fi === New === Drama === Comedy === Action === Action === Drama === Sci-Fi === Games"
29,"Angela - Hernandez","Documentary === Action === Foreign === Children === Children === Children === New === Family === New === Animation === Horror === Comedy === Children === Foreign === Sports === Travel === Children === Games === Animation === Sports === Games === Documentary === Drama === Classics === Sci-Fi === New === Drama === Travel === Action === Travel === Foreign === Games === Drama === Drama === Games === Animation"
30,"Melissa - King","Animation === Children === Sports === Children === Drama === Documentary === Family === Travel === Games === Documentary === Comedy === Documentary === Sports === Comedy === Family === Classics === Action === Drama === Horror === Drama === Children === Comedy === Sci-Fi === Sci-Fi === Horror === Sci-Fi === Foreign === Documentary === Horror === Drama === Music === Sports === Action === Drama"
31,"Brenda - Wright","Classics === Sci-Fi === Music === Family === Animation === Documentary === Comedy === Children === Classics === Games === Documentary === Animation === New === Drama === Drama === Family === Sci-Fi === Foreign === Foreign === Foreign === Foreign === Drama === Classics === Documentary === Classics === Documentary"
32,"Amy - Lopez","Animation === Sci-Fi === Animation === Travel === Classics === Sports === Music === Family === Family === Sci-Fi === Classics === Games === Documentary === Documentary === Comedy === Travel === Drama === Children === Family === Comedy === Comedy === Classics === Music === Horror === Documentary === Drama === Animation === Horror === Family"
33,"Anna - Hill","Horror === Comedy === Comedy === Sci-Fi === Foreign === Classics === Drama === Drama === Music === Sports === Children === Documentary === Animation === New === Family === Children === Sports === Animation === Games === Classics === Music"
34,"Rebecca - Scott","Sci-Fi === Games === Action === Sports === Children === Sports === Music === Horror === Family === Comedy === Family === Documentary === Classics === Action === Animation === Children === Horror === Classics === Comedy === Documentary === Games === Games === Sci-Fi === Horror"
